run,lumi,event,reason
319656,93,52014117,nano_ele_pt_floor
319656,94,53169483,nano_ele_pt_floor
319656,94,52981123,nano_ele_pt_floor
319656,94,53421112,nano_ele_pt_floor
319656,94,53081217,nano_ele_pt_floor
319656,94,53410651,nano_ele_pt_floor
319656,94,53396514,nano_ele_pt_floor
319656,94,53058370,nano_ele_pt_floor
319656,94,53346365,nano_ele_pt_floor
319656,94,53198149,nano_ele_pt_floor
319656,94,53371474,nano_ele_pt_floor
319656,94,53351840,nano_ele_pt_floor
319656,94,53267192,nano_ele_pt_floor
319656,94,53501757,nano_ele_pt_floor
319656,94,53513370,nano_ele_pt_floor
319656,94,53020874,nano_ele_pt_floor
319656,94,53421394,nano_ele_pt_floor
319656,94,53262200,nano_ele_pt_floor
319656,94,53425774,nano_ele_pt_floor
319656,94,53442542,nano_ele_pt_floor
319656,94,53453773,nano_ele_pt_floor
319656,94,52955218,nano_ele_pt_floor
319656,94,53171248,nano_ele_pt_floor
319656,94,53251056,nano_ele_pt_floor
319656,94,53412282,nano_ele_pt_floor
319656,94,53604703,nano_ele_pt_floor
319656,94,53266588,nano_ele_pt_floor
319656,94,53460341,nano_ele_pt_floor
319656,94,53745007,nano_ele_pt_floor
319656,94,53617332,nano_ele_pt_floor
319656,94,53230891,nano_ele_pt_floor
319656,94,53483952,nano_ele_pt_floor
319656,94,53263890,nano_ele_pt_floor
319656,94,53069330,nano_ele_pt_floor
319656,94,53773784,nano_ele_pt_floor
319656,94,54023662,nano_ele_pt_floor
319656,94,53711969,nano_ele_pt_floor
319656,94,53964628,nano_ele_pt_floor
319656,94,53756563,nano_ele_pt_floor
319656,94,54090346,nano_ele_pt_floor
319656,94,52825224,nano_ele_pt_floor
319656,94,53056066,nano_ele_pt_floor
319656,94,53402463,nano_ele_pt_floor
319656,94,53611825,nano_ele_pt_floor
319656,94,53039809,nano_ele_pt_floor
319656,94,53157739,nano_ele_pt_floor
319656,94,53612399,nano_ele_pt_floor
319656,94,53934151,nano_ele_pt_floor
319656,94,53261586,nano_ele_pt_floor
319656,94,53020120,nano_ele_pt_floor
319656,94,53510825,nano_ele_pt_floor
319656,94,53430392,nano_ele_pt_floor
319656,94,53425362,nano_ele_pt_floor
319656,94,54045673,nano_ele_pt_floor
319656,94,53018339,nano_ele_pt_floor
319656,94,53106300,nano_ele_pt_floor
319656,94,54316242,nano_ele_pt_floor
319656,94,53636396,nano_ele_pt_floor
319656,94,53586577,nano_ele_pt_floor
319656,94,53495209,nano_ele_pt_floor
319656,94,52931790,nano_ele_pt_floor
319656,94,54026542,nano_ele_pt_floor
319656,94,53909510,nano_ele_pt_floor
319656,94,54264630,nano_ele_pt_floor
319656,94,54256619,nano_ele_pt_floor
319656,94,54330929,nano_ele_pt_floor
319656,94,54224502,nano_ele_pt_floor
319656,94,52873934,nano_ele_pt_floor
319656,94,53803761,nano_ele_pt_floor
319656,94,53803762,nano_ele_pt_floor
319656,94,53801771,nano_ele_pt_floor
319656,94,53048785,nano_ele_pt_floor
319656,94,53305338,nano_ele_pt_floor
319656,94,53810566,nano_ele_pt_floor
319656,94,53611458,nano_ele_pt_floor
319656,94,53395349,nano_ele_pt_floor
319656,94,53879366,nano_ele_pt_floor
319656,94,54080294,nano_ele_pt_floor
319656,94,54228503,nano_ele_pt_floor
319656,94,52781105,nano_ele_pt_floor
319656,94,52937065,nano_ele_pt_floor
