run,lumi,event,reason
319678,57,43478601,nano_ele_pt_floor
319678,57,43733316,nano_ele_pt_floor
319678,57,43773791,nano_ele_pt_floor
319678,57,44301467,nano_ele_pt_floor
319678,57,44360959,nano_ele_pt_floor
319678,57,44372417,nano_ele_pt_floor
319678,62,51779835,nano_ele_pt_floor
319678,62,51850336,nano_ele_pt_floor
319678,62,51911562,nano_ele_pt_floor
319678,62,52156761,nano_ele_pt_floor
319678,62,52371832,nano_ele_pt_floor
319678,62,52501969,nano_ele_pt_floor
319678,62,52523733,nano_ele_pt_floor
319678,62,52720309,nano_ele_pt_floor
319678,62,52910161,nano_ele_pt_floor
319678,65,57106819,nano_ele_pt_floor
319678,65,57743559,nano_ele_pt_floor
319678,67,60167940,nano_ele_pt_floor
319678,67,60487844,nano_ele_pt_floor
319678,67,60955548,nano_ele_pt_floor
319678,67,61240979,nano_ele_pt_floor
319678,67,61443014,nano_ele_pt_floor
319678,67,61688759,nano_ele_pt_floor
319678,68,62258719,nano_ele_pt_floor
319678,68,62532627,nano_ele_pt_floor
319678,68,62823850,nano_ele_pt_floor
319678,68,63029534,nano_ele_pt_floor
319678,68,63129984,nano_ele_pt_floor
319678,68,63358022,nano_ele_pt_floor
319678,70,65115105,nano_ele_pt_floor
319678,70,65268669,nano_ele_pt_floor
319678,70,65305504,nano_ele_pt_floor
319678,70,65312805,nano_ele_pt_floor
319678,70,65853300,nano_ele_pt_floor
319678,70,65938935,nano_ele_pt_floor
319678,70,66511823,nano_ele_pt_floor
319678,70,66520898,nano_ele_pt_floor
319678,70,66652541,nano_ele_pt_floor
319678,73,70359938,nano_ele_pt_floor
319678,73,70590072,nano_ele_pt_floor
319678,73,70608915,nano_ele_pt_floor
319678,73,70929193,nano_ele_pt_floor
319678,73,70946466,nano_ele_pt_floor
319678,73,71075264,nano_ele_pt_floor
319678,73,71096795,nano_ele_pt_floor
319678,73,71206169,nano_ele_pt_floor
319678,73,71252717,nano_ele_pt_floor
319678,73,71284923,nano_ele_pt_floor
319678,73,71325287,nano_ele_pt_floor
319678,73,71585110,nano_ele_pt_floor
319678,75,73424179,nano_ele_pt_floor
319678,75,73427548,nano_ele_pt_floor
319678,75,73605618,nano_ele_pt_floor
319678,75,73781438,nano_ele_pt_floor
319678,75,73807320,nano_ele_pt_floor
319678,75,74043936,nano_ele_pt_floor
319678,75,74181756,nano_ele_pt_floor
319678,75,74294353,nano_ele_pt_floor
319678,75,74432284,nano_ele_pt_floor
319678,75,74535027,nano_ele_pt_floor
319678,75,74755933,nano_ele_pt_floor
319678,75,74899856,nano_ele_pt_floor
